id,text,term,polarity,from,to,category,polarity2
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",mussels,positive,42,49,,
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",puff pastry goat cheese,positive,51,74,,
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",salad with a delicious dressing,positive,79,110,,
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",hanger steak au poivre,positive,118,140,,
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses,neutral,6,13,,
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",,,,,food,positive
3404,it's a perfect place to have a amanzing indian food.,indian food,positive,40,51,,
3404,it's a perfect place to have a amanzing indian food.,,,,,food,positive
2599,The place is so cool and the service is prompt and curtious.,service,positive,29,36,,
2599,The place is so cool and the service is prompt and curtious.,place,positive,4,9,,
2599,The place is so cool and the service is prompt and curtious.,,,,,service,positive
2599,The place is so cool and the service is prompt and curtious.,,,,,ambience,positive
673,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,positive,35,53,,
673,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,,,,,food,positive
648,I just wonder how you can have such a delicious meal for such little money.,meal,positive,48,52,,
648,I just wonder how you can have such a delicious meal for such little money.,money,positive,69,74,,
648,I just wonder how you can have such a delicious meal for such little money.,,,,,price,positive
648,I just wonder how you can have such a delicious meal for such little money.,,,,,food,positive
863,The food was delicious but do not come here on a empty stomach.,food,conflict,4,8,,
863,The food was delicious but do not come here on a empty stomach.,,,,,food,conflict
1623,The wine list is excellent.,wine list,positive,4,13,,
1623,The wine list is excellent.,,,,,food,positive
2177,so garantuan that you can't fit them in a toaster.,,,,,food,positive
430,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",Thai food,positive,84,93,,
430,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",,,,,food,positive
1101,They wouldnt even let me finish my glass of wine before offering another.,glass of wine,neutral,35,48,,
1101,They wouldnt even let me finish my glass of wine before offering another.,,,,,service,positive
1823,I highly recommend the Sophia pizza.,,,,,anecdotes/miscellaneous,positive
324,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials,neutral,75,83,,
324,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",,,,,service,negative
2783,This is a consistently great place to dine for lunch or dinner.,lunch,neutral,47,52,,
2783,This is a consistently great place to dine for lunch or dinner.,dinner,neutral,56,62,,
2783,This is a consistently great place to dine for lunch or dinner.,dine,positive,38,42,,
2783,This is a consistently great place to dine for lunch or dinner.,,,,,anecdotes/miscellaneous,positive
2983,"Nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,positive,5,15,,
2983,"Nice atmosphere, the service was very pleasant and the desert was good.",service,positive,21,28,,
2983,"Nice atmosphere, the service was very pleasant and the desert was good.",desert,positive,55,61,,
2983,"Nice atmosphere, the service was very pleasant and the desert was good.",,,,,food,positive
2983,"Nice atmosphere, the service was very pleasant and the desert was good.",,,,,service,positive
2983,"Nice atmosphere, the service was very pleasant and the desert was good.",,,,,ambience,positive
66,All the people that I bring there go back on their own and bring THEIR friends!,,,,,anecdotes/miscellaneous,positive
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,positive,39,42,,
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,table,neutral,60,65,,
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,neutral,74,80,,
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,,,,,anecdotes/miscellaneous,positive
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,positive,9,16,,
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,positive,28,32,,
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",atmosphere,positive,52,62,,
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment,positive,67,78,,
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",,,,,food,positive
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",,,,,service,positive
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",,,,,ambience,positive
2934,Not what I wanted to hear.,,,,,anecdotes/miscellaneous,negative
2787,Try the lasagnette appetizer.,lasagnette appetizer,positive,8,28,,
2787,Try the lasagnette appetizer.,,,,,food,positive
825,"Pricey, but worth a try, at least once.",,,,,price,negative
825,"Pricey, but worth a try, at least once.",,,,,anecdotes/miscellaneous,positive
197,"I've been there a few times, and I usually end up sitting next to some pretty odd people.",,,,,anecdotes/miscellaneous,negative
604,I liked the beer selection!,beer selection,positive,12,26,,
604,I liked the beer selection!,,,,,food,positive
2911,"Great food, good size menu, great service and an unpretensious setting.",food,positive,6,10,,
2911,"Great food, good size menu, great service and an unpretensious setting.",menu,positive,22,26,,
2911,"Great food, good size menu, great service and an unpretensious setting.",service,positive,34,41,,
2911,"Great food, good size menu, great service and an unpretensious setting.",setting,positive,63,70,,
2911,"Great food, good size menu, great service and an unpretensious setting.",,,,,food,positive
2911,"Great food, good size menu, great service and an unpretensious setting.",,,,,service,positive
2911,"Great food, good size menu, great service and an unpretensious setting.",,,,,ambience,positive
3074,Go here for a romantic dinner but not for an all out wow dining experience.,dinner,positive,23,29,,
3074,Go here for a romantic dinner but not for an all out wow dining experience.,dining,positive,57,63,,
3074,Go here for a romantic dinner but not for an all out wow dining experience.,,,,,anecdotes/miscellaneous,conflict
1479,Can't wait to go back.,,,,,anecdotes/miscellaneous,positive
1074,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Dosa,neutral,17,21,,
1074,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,,,,,anecdotes/miscellaneous,neutral
912,Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,positive,0,19,,
912,Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,positive,32,49,,
912,Wine list selection is good and wine-by-the-glass was generously filled to the top.,,,,,food,positive
728,"With the great variety on the menu , I eat here often and never get bored .",menu,positive,30,34,,
728,"With the great variety on the menu , I eat here often and never get bored .",,,,,food,positive
2925,The menu is very limited - i think we counted 4 or 5 entrees.,menu,negative,4,8,,
2925,The menu is very limited - i think we counted 4 or 5 entrees.,entrees,negative,53,60,,
2925,The menu is very limited - i think we counted 4 or 5 entrees.,,,,,food,negative
495,"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.",,,,,anecdotes/miscellaneous,positive
3436,The menu is limited but almost all of the dishes are excellent.,menu,negative,4,8,,
3436,The menu is limited but almost all of the dishes are excellent.,dishes,positive,42,48,,
3436,The menu is limited but almost all of the dishes are excellent.,,,,,food,conflict
3273,Not too crazy about their sake martini.,sake martini,negative,26,38,,
3273,Not too crazy about their sake martini.,,,,,food,negative
1215,"Great bagels, spreads and a good place to hang out in.",bagels,positive,6,12,,
1215,"Great bagels, spreads and a good place to hang out in.",spreads,positive,14,21,,
1215,"Great bagels, spreads and a good place to hang out in.",,,,,food,positive
1215,"Great bagels, spreads and a good place to hang out in.",,,,,anecdotes/miscellaneous,positive
183,"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,conflict,4,11,,
183,"The service varys from day to day- sometimes they're very nice, and sometimes not.",,,,,service,conflict
2511,"whoever the jazz duo was, they were on POINT.",,,,,ambience,positive
282,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,table,neutral,90,95,,
282,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,,,,,service,positive
1562,This place is a great bargain.,,,,,price,positive
1712,We happened upon this place purely by accident and were pleased with the results.,,,,,anecdotes/miscellaneous,positive
3249,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,positive,19,23,,
3249,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",,,,,food,positive
3249,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",,,,,anecdotes/miscellaneous,negative
2052,Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,,,,,anecdotes/miscellaneous,positive
3207,We always have a delicious meal and always leave feeling satisfied.,meal,positive,27,31,,
3207,We always have a delicious meal and always leave feeling satisfied.,,,,,food,positive
672,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",ingredients,neutral,8,19,,
672,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",chopsticks,neutral,33,43,,
672,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",,,,,food,neutral
2972,First went here to enjoy their garden terrace.,garden terrace,positive,31,45,,
2972,First went here to enjoy their garden terrace.,,,,,ambience,positive
1903,"My husbands was perfect, my was well done and dry.",,,,,food,conflict
2549,"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.",,,,,service,positive
1755,The pizza was pretty good and huge.,pizza,positive,4,9,,
1755,The pizza was pretty good and huge.,,,,,food,positive
2890,Sapphire is the only Indian restaurant I go to when I'm in NYC.,,,,,anecdotes/miscellaneous,positive
2277,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",cuisine,neutral,4,11,,
2277,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",,,,,food,neutral
2308,I heartily recommend.,,,,,anecdotes/miscellaneous,positive
51,Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,,,,,anecdotes/miscellaneous,positive
3680,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,positive,50,60,,
3680,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,,,,,ambience,positive
3155,They are often crowded on the weekends but they are efficient and accurate with their service.,service,positive,86,93,,
3155,They are often crowded on the weekends but they are efficient and accurate with their service.,crowded,negative,15,22,,
3155,They are often crowded on the weekends but they are efficient and accurate with their service.,,,,,service,positive
3155,They are often crowded on the weekends but they are efficient and accurate with their service.,,,,,ambience,negative
1688,All my co-workers were amazed at how small the dish was.,dish,negative,47,51,,
1688,All my co-workers were amazed at how small the dish was.,,,,,food,negative
598,"The atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere,positive,4,14,,
598,"The atmosphere is unheralded, the service impecible, and the food magnificant.",service,positive,34,41,,
598,"The atmosphere is unheralded, the service impecible, and the food magnificant.",food,positive,61,65,,
598,"The atmosphere is unheralded, the service impecible, and the food magnificant.",,,,,food,positive
598,"The atmosphere is unheralded, the service impecible, and the food magnificant.",,,,,service,positive
598,"The atmosphere is unheralded, the service impecible, and the food magnificant.",,,,,ambience,positive
2926,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,negative,24,40,,
2926,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",,,,,food,negative
3083,"The wait staff is friendly, and the food has gotten better and better!",wait staff,positive,4,14,,
3083,"The wait staff is friendly, and the food has gotten better and better!",food,positive,36,40,,
3083,"The wait staff is friendly, and the food has gotten better and better!",,,,,food,positive
3083,"The wait staff is friendly, and the food has gotten better and better!",,,,,service,positive
1388,"This place, which is only a few months old, is perhaps Queens' biggest secret!",,,,,anecdotes/miscellaneous,positive
2977,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,positive,44,48,,
2977,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",French food,positive,76,87,,
2977,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",packed,negative,16,22,,
2977,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",,,,,food,positive
2977,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",,,,,ambience,conflict
1574,This place is so much fun.,,,,,anecdotes/miscellaneous,positive
498,I was glad I did.,,,,,anecdotes/miscellaneous,positive
2604,Right off the L in Brooklyn this is a nice cozy place with good pizza.,pizza,positive,64,69,,
2604,Right off the L in Brooklyn this is a nice cozy place with good pizza.,place,positive,48,53,,
2604,Right off the L in Brooklyn this is a nice cozy place with good pizza.,,,,,food,positive
2604,Right off the L in Brooklyn this is a nice cozy place with good pizza.,,,,,ambience,positive
473,I've never been treated so rudely.,,,,,service,negative
380,I'll be back soon.,,,,,anecdotes/miscellaneous,positive
2960,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,positive,25,41,,
2960,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,,,,,food,positive
322,Went inside and I started to get excited.,,,,,anecdotes/miscellaneous,positive
1383,I also ordered for delivery and the restaurant forgot half the order.,delivery,negative,19,27,,
1383,I also ordered for delivery and the restaurant forgot half the order.,order,negative,63,68,,
1383,I also ordered for delivery and the restaurant forgot half the order.,,,,,service,negative
892,Our server checked on us maybe twice during the entire meal.,server,negative,4,10,,
892,Our server checked on us maybe twice during the entire meal.,meal,neutral,55,59,,
892,Our server checked on us maybe twice during the entire meal.,,,,,service,negative
2296,"However, it is jus too good to not praise it.",,,,,anecdotes/miscellaneous,positive
868,We have been to Montparnasse many times and return often for good reason.,,,,,anecdotes/miscellaneous,positive
2936,The strong scents coming from the left and right of me negatively affected my taste buds.,scents,negative,11,17,,
2936,The strong scents coming from the left and right of me negatively affected my taste buds.,,,,,anecdotes/miscellaneous,negative
3423,We had the lobster sandwich and it was FANTASTIC.,lobster sandwich,positive,11,27,,
3423,We had the lobster sandwich and it was FANTASTIC.,,,,,food,positive
154,It's somewhere you can eat and be happy.,,,,,anecdotes/miscellaneous,positive
591,"If you wrote a bad review, it's because you don't understand what Rao's is all about.",,,,,anecdotes/miscellaneous,positive
1197,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,negative,143,148,,
1197,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",,,,,service,negative
2061,but overall i give it a 10,,,,,anecdotes/miscellaneous,positive
2274,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",Spider Roll,conflict,11,22,,
2274,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,positive,124,129,,
2274,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",shell crab,positive,67,77,,
2274,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",,,,,food,positive
2274,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",,,,,price,positive
2804,Deep Fried Skewers are good and still rare to find in NYC.,Deep Fried Skewers,positive,0,18,,
2804,Deep Fried Skewers are good and still rare to find in NYC.,,,,,food,positive
194,"I have tried to make reservations, but both times, the hostess didn't have my name.",reservations,neutral,21,33,,
194,"I have tried to make reservations, but both times, the hostess didn't have my name.",hostess,negative,55,62,,
194,"I have tried to make reservations, but both times, the hostess didn't have my name.",,,,,service,negative
148,I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,positive,21,32,,
148,I also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),positive,63,85,,
148,I also recommend the rice dishes or the different varieties of congee (rice porridge).,,,,,food,positive
2747,Their tuna tartar appetizer is to die for.,tuna tartar appetizer,positive,6,27,,
2747,Their tuna tartar appetizer is to die for.,,,,,food,positive
2845,This was one of the BEST restaurants I've ever been to.,,,,,anecdotes/miscellaneous,positive
187,This restaurant used to be pretty decent.,,,,,anecdotes/miscellaneous,negative
856,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",Food,conflict,25,29,,
856,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",chef,positive,114,118,,
856,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",fish dishes,positive,186,197,,
856,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",soups,positive,202,207,,
